store_id,lat,lon,state,geo_tier,N_ZIPCODES,TOTAL_POPULATION,avg_weekly_revenue,total_revenue,revenue_per_capita,population_density,area_sq_mi,quality_not_price_disagree,price_not_brands_disagree,compare_prices_disagree,buy_american_agree,mail_order_1_49,mail_order_50_99,mail_phone_1_49,mail_phone_500_plus,reads_sunday_newspaper,reads_classifieds,commute_1_2_hrs,work_from_home,public_transit
24,41.49992068,-75.67778943,PA,SUBRURAL,30,222880,6694.378150201613,13281646.25,30.035795720574356,1785.2,6.51,719,575,1150,3570,284,418,328,240,359,561,1562,206,65
25,39.5892302,-78.87498483,MD,SUBURBAN,30,113913,8864.930823764354,17756456.44,77.82194151470293,423.4,95.59,2244,1726,3869,14186,1192,1405,1322,1110,1083,2008,5949,621,71
26,39.05680365,-75.55808188,DE,SUBURBAN,18,216716,10141.886969545681,20314199.6,46.79805353340631,494.2,71.21,1881,1614,2762,9867,794,1151,822,840,782,1247,4735,432,113
27,40.24869685,-78.87096093,PA,SUBURBAN,29,100208,8130.803754368448,16285999.92,81.1392678665221,538.0,29.05,865,645,1454,5453,399,516,494,427,473,741,2252,394,78
28,40.6754508,-75.4597788,PA,SUBRURAL,15,292408,9700.107654690619,19439015.74,33.17319517486053,1941.4,9.76,1272,1008,1797,4963,499,776,416,473,491,692,2641,213,314
29,40.31657757,-79.51791729,PA,SUBRURAL,14,129671,5797.428453093812,11618046.62,44.708751016756345,695.6,83.26,2980,2566,5097,19425,1357,2072,1548,1628,1529,2505,8260,1383,241
30,40.94336394,-79.82301882,PA,SUBRURAL,35,168058,6086.407300399202,12197160.23,36.216111701907685,501.8,81.33,2162,1822,3568,13631,983,1475,1091,1094,973,1772,5770,801,215
31,40.39397981,-78.4213909,PA,SUBRURAL,31,151147,8544.00041958042,17105088.84,56.52775390567077,175.0,63.66,654,466,978,3939,288,462,324,323,219,518,1453,188,41
32,40.69876129,-79.10311142,PA,SUBRURAL,45,94537,6679.186541772152,13191393.42,70.65156014864182,257.1,117.26,1675,1173,2544,8815,636,901,700,743,796,1205,5337,602,116
33,41.018529,-80.3707444,PA,SUBRURAL,10,71018,5514.829990019961,11051719.3,77.65397490805093,547.7,27.94,728,688,1355,5180,328,483,380,497,485,662,2081,418,56
34,39.896035,-79.7518194,PA,SUBRURAL,28,81511,6716.964061876248,13460795.98,82.40561472532845,575.5,53.19,2007,1593,3180,10064,820,1159,855,679,866,1654,4307,502,81
35,39.99330514,-76.80460829,PA,URBAN,7,122473,7633.062819361277,15296657.89,62.3244537111141,11775.5,1.6,1415,1104,1803,4153,413,703,326,638,521,601,2787,238,599
36,38.29727488,-75.57055342,MD,SUBURBAN,27,167508,8760.994945109782,17557033.87,52.30194942993637,637.4,64.78,2074,1853,3229,11563,834,1452,822,1160,998,1430,5829,495,258
37,41.27789506,-75.95938828,PA,SUBRURAL,19,211486,6238.683654518222,12496083.36,29.499274914264877,655.2,64.56,2762,2214,4286,13081,1044,1633,1088,1052,1213,2000,6044,879,470
38,40.10161848,-79.88811448,PA,SUBRURAL,25,88299,6147.253632734531,12319096.28,69.618609868,449.8,35.05,854,656,1510,5599,465,543,471,440,376,834,2222,383,36
39,40.69213019,-76.23525035,PA,SUBRURAL,33,104772,7072.9236926147705,14174139.08,67.50776631747766,319.2,71.23,1363,1075,2253,7599,581,821,609,603,625,1168,3176,469,119
40,40.9964856,-78.42745864,PA,RURAL,45,87656,5841.689775336994,11700904.62,66.64335328257043,99.8,134.21,765,637,1406,4741,385,485,404,303,319,743,1948,202,12
41,41.36005303,-79.55900838,PA,RURAL,35,79406,5932.747778332501,11883293.8,74.71409941732995,37.2,37.01,70,53,116,504,38,49,38,36,29,66,192,17,0
42,40.41330013,-80.705305,OH,SUBRURAL,25,111864,5710.903841158842,11433229.49,51.05220483049812,695.1,25.62,1201,864,1640,5486,494,657,519,502,485,788,2875,642,74
43,40.85836653,-77.78416458,PA,SUBRURAL,19,130792,4832.020963554668,9678537.99,36.944315887475284,1680.7,28.98,3844,2078,3698,13323,954,1315,1123,1485,1521,1754,12612,1734,2202
44,40.02306083,-80.87733189,OH,RURAL,41,151317,5318.0081777334,10651970.38,35.14481636388112,193.6,86.33,834,713,1448,6414,432,564,475,486,414,753,2340,190,28
45,41.9957544,-80.09942873,PA,RURAL,30,273785,7714.140244755245,15443708.77,28.175905344541317,0.0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0
46,36.788145,-76.06359233,VA,SUBRURAL,7,266980,6570.422762237762,13153986.37,24.61016841050926,2301.8,25.7,2894,2551,4405,15724,981,2010,1165,1895,1508,1791,7316,1882,244
47,36.87119636,-76.22772318,VA,URBAN,11,388767,7068.616486756621,14144301.59,18.18214119705793,2258.3,9.1,1011,939,1735,6050,493,833,522,551,446,761,2753,752,340
48,36.97940107,-76.48835787,VA,SUBRURAL,15,246653,8106.517674650699,16245461.42,32.86608180176482,2625.5,20.2,2877,2415,4419,14090,1157,2030,1267,1541,1120,1711,7378,1456,605
49,40.74084638,-82.53144277,OH,SUBURBAN,14,144549,8488.118602794411,17010189.68,58.721392765044456,1913.9,7.58,832,683,1388,4547,349,502,388,405,444,618,1956,226,131
50,39.12863829,-81.45300776,WV,SUBRURAL,21,92646,6526.832326510234,13073245.15,70.44915405425203,865.6,33.02,1684,1419,2890,9414,771,1037,778,577,749,1507,4095,452,199
51,40.82191004,-81.39663837,OH,SUBRURAL,28,395216,8057.196060908637,16138563.71,20.386816477340584,1325.0,9.56,587,515,1015,3891,221,421,288,369,356,440,1697,492,120
52,39.9871576,-83.76996607,OH,SUBURBAN,15,167093,6173.4095556665,12365339.34,36.94594959493516,878.4,19.14,966,753,1431,5373,380,557,435,430,414,752,2546,351,48
53,39.30331075,-83.03528613,OH,SUBRURAL,8,87553,5963.864530938124,11951584.52,68.11719222571612,160.7,349.94,3037,2283,4861,18813,1456,2226,1484,1340,1020,2240,7965,649,144
54,40.78509163,-84.01878847,OH,SUBRURAL,20,115032,5474.698433133733,10971295.66,47.592830109306384,455.0,50.22,1287,1037,2047,6578,514,819,502,572,532,936,2872,330,215
55,38.48426496,-78.88314096,VA,SUBRURAL,28,163108,5984.726487025949,11993391.88,36.691802284535086,1318.5,30.85,2143,1587,3166,10623,766,1156,760,1047,1037,1417,7457,882,230
56,42.89195239,-78.75375039,NY,SUBRURAL,18,364134,11963.558103103103,23903189.09,32.854822958315076,2937.5,11.79,2022,1736,3779,11975,928,1443,964,1034,794,1583,5019,883,229
57,43.06706911,-77.67804416,NY,SUBRURAL,19,265431,6379.213988005997,12764807.19,24.033417302447702,1365.1,20.41,2018,1240,2597,8051,611,1000,672,717,710,1077,6301,632,534
58,37.43909213,-77.4848,VA,SUBRURAL,8,277875,6715.128897205589,13457118.31,24.166005927865367,2365.4,19.88,2842,2361,3963,12054,1078,1851,857,1322,1140,1535,5559,1003,341
59,43.21174013,-77.68427163,NY,SUBRURAL,8,187815,6143.584380619381,12299455.93,32.710829170297266,2048.0,14.66,1406,1224,2558,10089,671,1096,822,824,709,1236,4164,736,55
60,37.4797328,-76.39091653,VA,SUBRURAL,37,62427,5656.9050773839235,11330780.87,90.61632110118896,126.8,177.37,1061,894,1761,7493,454,853,521,678,469,848,2909,593,21
61,36.31368693,-76.24753107,NC,RURAL,15,98609,5514.560164835165,11040149.45,55.92349749855657,165.9,244.83,2213,1671,3412,12785,902,1638,976,949,714,1476,5430,835,20
62,36.81484543,-76.357312,VA,URBAN,7,179451,5290.843101898102,10592267.89,29.48349745556225,4020.0,3.14,731,625,1127,3164,277,530,245,335,268,420,1508,189,234
63,41.41547933,-81.67986889,OH,SUBRURAL,9,234528,5939.967648527208,11897755.2,25.327328287143576,4039.0,9.53,1951,1767,4048,13350,885,1575,989,1149,824,1623,5468,957,173
64,39.99706076,-77.70039338,PA,SUBRURAL,30,183881,7815.435823353294,15662133.39,42.50268284027874,243.2,128.37,1514,1183,2433,10427,664,1054,740,775,625,1243,4157,908,58
65,37.70518773,-77.61912062,VA,URBAN,38,543426,6723.129000999001,13459704.26,12.371747029032473,4521.3,4.26,902,880,1469,4725,358,685,452,546,373,552,2909,862,87
66,41.35177927,-82.704782,OH,SUBURBAN,15,159447,5632.073133732535,11286674.56,35.32254061683528,628.5,63.4,2253,1868,3702,12842,1011,1425,1072,1037,1041,1820,5563,420,310
67,42.6392045,-78.81936156,NY,SUBRURAL,20,169762,6956.744399399399,13899575.31,40.97939703466853,1125.3,38.96,2199,1922,3819,14620,805,1538,1037,1275,1097,1900,5672,1193,202
68,41.388405,-81.4968159,OH,SUBRURAL,10,246704,6328.628483033933,12682571.48,25.65271938450099,1489.2,19.97,1679,1557,2909,9447,852,1155,838,743,826,1385,4095,657,311
69,36.62422994,-79.32165482,VA,SUBURBAN,18,102295,6919.529705294705,13852898.47,67.64289266625646,421.2,75.46,2018,1599,3038,10211,800,1138,789,780,832,1589,4265,620,139
70,43.00619895,-76.076373,NY,URBAN,21,238566,6885.383567864272,13798308.67,28.861545936404482,2616.9,3.31,467,428,791,2742,194,276,210,259,220,350,1317,175,49
71,41.38242138,-81.95370669,OH,SUBRURAL,16,377363,6350.313117794486,12668874.67,16.82812866601783,2772.2,11.59,1574,1434,2709,10703,628,1074,759,842,828,1395,4471,1144,286
72,41.67473858,-81.3407875,OH,SUBRURAL,12,279124,6285.339440838742,12589534.9,22.518090314121114,1494.2,40.23,2716,2438,4937,19908,1169,2065,1433,1768,1511,2360,8014,1877,317
73,35.3743713,-77.9406569,NC,SUBURBAN,10,147187,6244.526998001998,12501543.05,42.42580525455372,394.7,77.23,1603,1264,2535,9149,745,1111,790,658,645,1042,4247,375,116
74,35.72845856,-78.75336989,NC,SUBRURAL,9,409267,5244.755731402895,10505245.73,12.814997865459214,2812.3,11.8,1600,1416,2511,9272,578,1032,689,1018,874,1057,4419,2263,181
75,43.23218072,-76.09679211,NY,URBAN,18,154188,6344.929125874126,12702548.11,41.150602679029014,713.0,24.65,802,695,1306,5273,317,576,364,540,303,606,2223,483,3
76,39.1975296,-76.85847952,MD,SUBRURAL,25,542492,7358.58617265469,14746606.69,13.564414171369698,1639.6,10.39,578,556,862,3542,249,404,321,405,234,297,1766,490,283
77,37.36604662,-79.12084,VA,SUBURBAN,24,197161,8408.484181636726,16850602.3,42.64780652176001,1582.5,31.65,2979,2112,4252,14814,1133,1793,1287,1186,1106,1866,9090,950,176
78,35.07401357,-78.86789336,NC,SUBRURAL,15,328210,7067.278266733267,14148691.09,21.532793841544336,810.1,44.85,1855,1578,2902,9810,688,1259,774,967,667,1179,4890,739,121
79,40.95317324,-76.00302457,PA,SUBRURAL,25,85790,7234.855501747379,14491415.57,84.33215411758223,425.6,35.38,960,711,1497,4903,418,521,415,402,413,734,2085,161,0
80,39.281776,-84.5650067,OH,SUBRURAL,10,196735,5790.421656596173,11499777.41,29.43259540293376,2900.0,9.88,1446,1286,2528,8339,686,1117,676,791,640,1048,3557,410,135
81,41.25931194,-80.80659367,OH,SUBRURAL,18,163954,6834.841652521218,13690187.83,41.687556586123044,1340.0,15.29,1201,979,2082,6909,567,732,626,446,587,1083,2931,121,45
82,37.7291759,-81.32247119,WV,SUBURBAN,81,110542,5969.8490164752875,11957607.58,54.00525606986745,374.7,92.21,1844,1533,3247,12774,996,1111,996,822,725,1462,4699,540,18
83,43.13823591,-78.96762791,NY,SUBRURAL,12,158293,6573.532799401198,13173359.73,41.52762787616128,1294.3,21.62,1574,1312,2678,9811,784,998,883,729,740,1421,4022,539,153
84,36.0004035,-77.84154629,NC,SUBURBAN,16,144233,5532.119890219561,11086368.26,38.355438008081094,668.5,42.84,1560,1298,2398,8858,704,1050,727,687,542,1063,3967,398,66
85,43.05141883,-75.26006788,NY,SUBRURAL,42,199902,5867.131163255118,11751863.72,29.350037334569528,858.8,18.14,797,663,1252,5092,299,449,369,465,447,662,2051,461,1
86,35.7431155,-81.293654,NC,SUBRURAL,15,247126,7636.1418650000005,15272283.73,30.899791462654683,418.3,69.98,1760,1250,2689,9535,730,1208,700,740,566,1266,3978,707,32
87,35.12753567,-80.73423389,NC,SUBRURAL,9,428065,7314.598062905641,14651139.92,17.087587312454048,2025.9,23.73,2024,1822,3308,12978,748,1500,905,1578,945,1434,5616,2549,356
88,35.61278507,-80.88103521,NC,SUBRURAL,14,356417,6035.69758982036,12095537.97,16.93437066643948,903.8,55.72,2048,1748,3128,13688,741,1511,977,1636,863,1307,6404,2988,115
89,44.01287458,-75.81175672,NY,SUBURBAN,46,136014,5701.255777888945,11396810.3,41.916683414126084,267.9,137.96,2063,1727,3236,10716,776,1456,891,983,804,1487,4843,498,224
90,39.40918957,-74.60693693,NJ,SUBURBAN,16,196117,6220.261981037924,12465405.01,31.717097350244618,773.0,60.37,2185,1948,3545,12541,841,1611,914,1428,971,1279,5451,1284,91
91,35.64863755,-77.19996209,NC,SUBURBAN,24,237181,5771.570853293413,11566227.99,24.334035413011215,905.0,58.75,3329,2199,4093,14845,989,1791,1185,1523,1137,1813,10038,2377,185
93,39.86919792,-83.01275692,OH,SUBRURAL,12,272312,7772.777174238642,15568872.68,28.54364542964923,1917.1,25.0,3197,2687,4815,14027,1312,1885,1165,1253,1245,2092,6142,1303,414
94,38.85294658,-84.67785913,KY,SUBRURAL,24,316371,7652.361007984033,15335331.46,24.187934444004135,2346.3,23.44,2770,2405,4299,15169,1172,1896,1165,1487,1061,1727,6837,1942,135
95,35.257936,-81.13394417,NC,SUBRURAL,12,264846,6118.258931602596,12254872.64,23.101194398263882,1976.3,20.69,2288,1879,3447,12156,958,1420,913,1083,940,1588,5568,466,129
96,35.44163314,-80.59306557,NC,SUBRURAL,7,231575,6633.473185222167,13286846.79,28.64503156740653,1189.4,68.33,3613,2943,5370,21104,1384,2684,1574,2419,1212,2192,9926,3181,455
97,36.122841,-80.37347238,NC,SUBRURAL,13,309484,7643.614262868566,15294872.14,24.697930306150127,2452.0,12.38,1461,1300,2332,8427,467,970,644,896,825,1038,3925,1086,40
98,35.77565657,-80.20861071,NC,SUBRURAL,9,186393,5977.967139291063,11973868.18,32.071843574013315,255.7,155.03,2605,1750,3811,13542,1058,1753,1048,919,762,1813,5291,837,68
99,36.06515344,-79.88465167,NC,SUBURBAN,27,648066,8597.901463536464,17212998.73,13.267015186009548,1692.0,29.15,2670,2323,4035,13219,945,1952,1011,1498,1066,1729,6315,1553,517
100,40.53750147,-83.106251,OH,SUBURBAN,16,86120,5139.17246007984,10298901.61,59.67455248583186,265.5,201.31,3102,2348,4634,15331,1200,1697,1191,1235,1339,2295,6429,814,213
101,39.24441703,-80.32290837,WV,RURAL,34,137360,7411.440075,14822880.15,53.95631970733839,200.6,80.64,736,642,1219,5360,335,469,357,486,340,610,2205,255,6
102,41.95239445,-74.09467662,NY,SUBRURAL,29,121640,5559.367604790419,11140972.68,45.703449562565105,555.6,63.92,2043,1779,3187,10913,777,1342,823,1011,932,1442,4856,1259,527
103,34.87356345,-79.70987736,NC,RURAL,14,54152,5389.58518981019,10789949.55,99.52698311807856,163.6,146.63,1567,1129,2442,7887,652,946,656,519,512,1247,2959,197,0
104,40.1107275,-82.46042158,OH,SUBRURAL,12,141269,6112.331852221667,12243000.7,43.267325826767845,547.5,115.18,3650,2831,5803,19840,1582,2421,1588,1579,1395,2605,8772,1351,120
105,39.68346976,-84.24704386,OH,SUBURBAN,22,402359,6282.3719011976045,12589873.29,15.613847089782022,2763.9,6.92,1025,904,1995,6107,465,833,517,522,407,823,2760,478,28
106,38.38399739,-82.31636666,WV,RURAL,38,187935,6637.743556443556,13288762.6,35.31935805700672,258.8,45.59,530,442,921,4140,318,407,367,338,232,457,1661,279,1
107,36.16169785,-78.89460908,NC,SUBRURAL,13,272208,5788.791617573639,11594949.61,21.26605984237656,1194.8,42.08,2827,2411,4109,13343,1006,1891,1199,1496,1398,1711,7490,3167,810
108,40.130768,-74.8831059,PA,URBAN,10,236318,7766.44457314029,15556188.48,32.86438008590243,2403.0,9.12,1129,1082,1811,6449,437,796,429,574,574,829,2729,805,215
109,36.1005305,-79.3813536,NC,SUBURBAN,10,202385,5748.95000499002,11520895.81,28.406008375077302,308.6,129.9,2635,2002,3852,12086,1189,1678,999,978,877,1549,5073,348,10
110,37.22857475,-80.13495188,VA,URBAN,8,92194,4804.235379241517,9627687.7,52.11006550579774,367.7,105.39,2035,1741,3477,12968,771,1339,882,1035,1028,1732,5306,1127,45
112,41.42758793,-74.37828274,NY,SUBRURAL,29,203229,6660.679425861208,13341340.89,32.774256754012505,836.1,63.92,2807,2612,4446,14712,972,1926,1004,1466,1463,1832,6454,1148,681
113,34.91536495,-81.92862268,SC,SUBRURAL,22,344972,6009.45684553661,11982856.95,17.42012930190453,1341.3,27.65,2106,1698,3218,11092,932,1332,840,967,787,1417,4939,463,39
114,36.48280142,-80.58009633,NC,SUBRURAL,13,75749,6448.083093453273,12902614.27,85.1243329080684,207.1,177.68,2357,1554,3542,12946,1005,1632,1073,882,706,1700,4908,375,9
115,35.71593882,-84.05944418,TN,SUBRURAL,11,153124,7649.136226226226,15282974.18,49.953868931233686,443.4,66.75,1803,1373,2809,10120,916,1227,857,749,610,1307,3960,1004,0
116,36.0835395,-83.86252983,TN,SUBRURAL,13,171396,6225.5175499002,12475937.17,36.32242030094167,474.4,27.91,776,495,1142,4542,333,527,332,325,214,539,1827,307,9
117,35.336412,-81.91578133,NC,SUBRURAL,14,71531,5249.549878971256,10409857.41,73.38845925502586,291.5,68.81,1242,858,1927,6941,542,840,575,419,370,950,2635,143,32
118,39.96250646,-74.9816345,NJ,URBAN,28,618178,7240.744421157685,14510451.82,11.71304126183346,3279.2,7.37,1184,1083,2058,6741,358,765,510,734,804,824,2980,1035,510
119,42.13040819,-75.92201519,NY,SUBURBAN,27,230321,7840.974633050424,15705472.19,34.043680919457735,728.5,25.27,1104,918,1829,6090,523,677,527,509,425,856,2728,261,252
120,33.96343509,-80.94038845,SC,SUBRURAL,11,257486,6581.9079670329675,13176979.75,25.562197428337726,1034.2,34.89,1946,1717,3086,9709,774,1312,813,1024,824,1327,4879,870,275
121,38.15111833,-85.84943333,KY,SUBRURAL,3,109306,6422.244514999999,12844489.03,58.75472997822626,2080.4,13.09,1366,1219,2653,9095,694,1163,718,698,540,1025,3647,873,148
122,38.33378382,-76.63327182,MD,SUBURBAN,11,107720,5041.115444555444,10092313.12,46.79832384474047,682.1,37.35,1225,1004,1639,5775,434,723,500,730,471,583,3276,1010,163
123,33.10470053,-80.04138374,SC,SUBURBAN,19,478286,8900.482929141715,17836567.79,18.609122845204993,2387.9,14.19,2079,1646,2700,7914,802,1462,704,898,749,1041,4182,540,268
124,38.2086202,-77.4392462,VA,SUBURBAN,15,319060,8483.142300399202,17000217.17,26.58792170876701,690.1,47.46,1283,1127,2044,8427,482,965,591,976,469,819,3909,1324,750
125,39.81264667,-75.67155413,PA,SUBRURAL,18,285145,4569.091434563758,5446356.99,16.02374733754321,655.0,36.8,913,1117,1601,6088,330,747,472,849,709,624,2784,1381,105
126,36.4088333,-78.34311,NC,SUBURBAN,12,85626,4759.4412793068295,9338023.79,55.58406651375551,1393.1,11.32,1169,984,1601,4353,429,587,362,401,465,747,1853,397,0
127,34.26766075,-77.93702594,NC,SUBURBAN,16,333547,4969.1215250000005,9938243.05,14.897815075536583,2639.3,14.56,2035,1648,3457,10501,790,1269,781,1113,1075,1472,6601,1882,152
128,39.1341192,-84.6414129,OH,SUBRURAL,10,173867,6364.7159381237525,12754890.74,36.60680829670813,4609.6,9.93,2362,2128,4054,13458,965,1662,1047,1259,1086,1755,6065,1026,979
129,41.95608889,-83.42817711,MI,SUBRURAL,9,100540,4938.250745,9876501.49,49.11727416948478,506.7,56.93,1562,1309,2743,9465,685,1091,711,720,685,1283,3868,513,19
130,42.44580333,-76.40982667,NY,SUBRURAL,6,79427,3646.3585885167463,4572533.67,45.9083005592147,499.6,132.92,4090,3119,5198,17928,1400,2055,1551,1971,1952,2423,13652,4081,2822
131,40.16391989,-75.12610361,PA,SUBRURAL,18,340974,6346.498135,12692996.27,18.612850642570987,1864.1,8.9,706,656,1170,4498,269,502,345,502,354,437,2211,676,426
132,39.02979467,-84.11381044,OH,SUBRURAL,18,237902,6093.696563436563,12199580.52,25.61431414379267,1633.5,13.61,1057,907,1747,6471,393,707,494,595,540,753,2910,845,92
133,42.21394075,-83.222589,MI,URBAN,16,409477,7033.111052894212,14094354.55,17.175839065183666,2659.3,23.61,3785,3066,6150,19831,1866,2258,1845,1409,1630,3040,8215,1226,189
134,33.9175215,-79.0440474,SC,URBAN,11,222816,9047.350099850224,18121842.25,40.604580011535184,1245.5,43.34,2540,2150,4158,14812,1095,1813,1190,1640,997,1698,7682,1262,1
135,40.66119414,-80.33691814,PA,SUBRURAL,22,168696,5248.653483033932,10518301.58,31.113087939452814,658.9,19.03,631,523,1145,4219,307,430,336,364,275,580,1710,287,115
136,35.90631533,-78.48615827,NC,SUBRURAL,15,549126,5212.762435129741,10446375.92,9.492834859631015,2415.4,19.17,2622,2045,3728,11362,941,1776,979,1193,960,1306,6363,2807,272
137,40.40974264,-75.91148418,PA,URBAN,11,156691,6269.549525948104,12564177.25,40.01218657069075,1168.6,18.8,1157,929,1986,7439,546,895,591,622,455,866,3089,292,71
138,34.19845854,-82.16612777,SC,SUBURBAN,14,101617,6024.387674066599,11940336.37,59.28523449882007,499.1,56.45,1506,1209,2450,8446,638,966,642,648,590,1155,4133,164,26
139,34.993324,-85.24340669,TN,URBAN,13,226260,5095.256749875187,10205799.27,22.519476486675448,2402.6,7.28,1060,979,1828,4973,546,709,459,464,424,731,2469,472,239
140,37.31897467,-81.36280307,VA,RURAL,32,100197,4819.208567134269,9619140.3,48.09733392351337,154.9,61.59,611,487,920,3620,238,348,277,217,214,480,1292,144,1
141,42.46119754,-83.35153454,MI,URBAN,13,330103,6686.013621378621,13385399.27,20.25432553287495,2935.8,8.98,1347,1192,2385,8244,457,924,570,867,770,991,3377,936,44
142,42.3238745,-83.3612605,MI,URBAN,10,356132,6559.711083916084,13132541.59,18.419325092707435,4044.6,12.22,2876,2418,5112,15664,1205,1962,1309,1271,1163,2146,7256,580,236
143,40.29931929,-84.20427376,OH,SUBRURAL,21,99704,3844.317899201597,7704013.07,38.55730862554759,183.2,159.58,1653,1306,2644,9360,720,1090,702,738,623,1252,3789,580,7
144,43.00929038,-83.76471756,MI,SUBURBAN,16,252987,6833.260179640719,13693853.4,27.010321398493673,1406.0,21.24,1710,1425,2750,9041,795,1037,800,648,721,1342,3998,393,178
145,37.82059036,-86.071537,KY,SUBRURAL,14,138931,4495.632807192807,9000256.88,32.35874504029199,1335.6,17.33,1170,1019,1968,6536,565,883,537,552,457,783,3041,306,13
146,37.66909975,-84.2871835,KY,SUBRURAL,5,98135,4821.827225,9643654.45,49.134633158404235,223.5,285.65,3367,2489,5223,18638,1357,2300,1451,1747,1375,2283,9993,1287,59
147,41.716927,-83.5805409,OH,SUBRURAL,10,158080,7194.815649350649,14404020.93,45.51376296400968,2608.6,11.13,1519,1385,2541,8820,700,1031,838,541,769,1274,3872,349,128
148,34.49992914,-82.6650115,SC,SUBRURAL,14,205973,4684.389560659011,9382832.29,22.742735992868052,516.7,88.19,2343,1899,3865,13924,982,1815,1097,1104,850,1628,5954,632,30
149,36.25610414,-83.26088529,TN,SUBURBAN,16,110508,7513.625119760479,15057304.74,67.99168494371881,314.7,58.03,1144,802,1712,5922,485,714,444,453,389,858,2382,85,63
150,42.2159586,-83.6605665,MI,SUBRURAL,10,234748,5377.395187781673,10738658.19,22.907096920023484,1608.3,42.93,3445,2739,5161,16940,1206,2234,1346,1900,1380,2103,9575,1597,1477
151,42.69360654,-84.63433323,MI,SUBURBAN,13,230815,6713.048188622754,13452948.57,29.084107136116607,1380.8,23.46,1659,1474,2993,10219,758,1284,893,870,726,1295,4700,1325,293
153,43.40479058,-84.01311625,MI,SUBRURAL,12,155426,5023.545317024463,10062161.27,32.32113878646084,1531.4,17.34,1222,1060,2205,8834,734,893,782,715,553,1091,4074,808,121
154,40.05893167,-86.09378033,IN,URBAN,9,254522,5064.96947578632,10145133.86,19.899928005383895,1979.1,26.25,1962,1813,3059,12995,771,1487,953,1604,823,1364,6503,3832,12
155,40.07570875,-85.68285681,IN,SUBRURAL,17,140016,4761.772801400701,9518783.83,34.00877614987359,2731.3,6.44,1377,1065,1856,4814,463,669,336,502,480,794,2419,177,37
